# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
13738.3000 M180 138 1 139.4000 s16 sink4 3597 N s16->sink0
14637.9000 M179 138 1 1086.8000 s13 sink4 3581 N s13->sink0
14638.0000 M175 194 3 1566.0000 s18 sink2 3573 N s18->s17->s13->sink0
14638.1000 M181 189 2 1026.1000 s10 sink3 3582 N s10->s13->sink0
14638.2000 M182 186 2 1020.2000 s17 sink9 3582 N s17->s13->sink0
14638.3000 M171 117 3 1817.4000 s15 sink5 3569 N s15->s17->s13->sink0
15092.2000 M187 174 1 1029.0000 s17 sink8 3582 N s17->sink0
15092.5000 M188 123 3 1028.2000 s18 sink6 3582 N s18->s10->s16->sink3
15092.6000 M185 177 2 1137.4000 s14 sink6 3581 N s14->s16->sink3
15092.7000 M186 196 2 1063.2000 s10 sink8 3582 N s10->s16->sink3
15092.8000 M192 142 1 498.2000 s16 sink2 3591 N s16->sink3
15092.9000 M184 115 4 1142.0000 s11 sink0 3580 N s11->s18->s10->s16->sink3
15135.1000 M194 160 1 421.5000 s18 sink1 3592 N s18->sink7
15135.2000 M198 147 1 139.6000 s18 sink4 3597 N s18->sink7
15135.3000 M190 174 2 760.1000 s10 sink0 3587 N s10->s18->sink7
15135.4000 M191 131 2 699.8000 s19 sink9 3588 N s19->s18->sink7
15135.5000 M193 194 2 524.0000 s10 sink1 3591 N s10->s18->sink7
15316.4000 M197 182 1 414.5000 s12 sink6 3593 N s12->sink6
15316.5000 M201 187 1 178.8000 s12 sink7 3597 N s12->sink6
15316.6000 M183 156 2 1539.0000 s15 sink2 3574 N s15->s12->sink6
15316.7000 M195 190 1 595.6000 s12 sink2 3590 N s12->sink6
15316.8000 M189 135 3 961.8000 s11 sink5 3583 N s11->s15->s12->sink6
15382.6000 M199 101 1 312.1000 s19 sink3 3594 N s19->sink4
15382.7000 M196 147 1 626.3000 s19 sink0 3589 N s19->sink4
15808.4000 M203 134 1 344.5000 s11 sink7 3594 N s11->sink1
15949.9000 M208 129 1 167.0000 s16 sink0 3597 N s16->sink0
15950.0000 M202 198 3 608.3000 s15 sink8 3589 N s15->s12->s16->sink0
15950.1000 M200 132 3 853.4000 s15 sink6 3585 N s15->s12->s16->sink0
16305.5000 M204 101 2 744.0000 s13 sink6 3587 N s13->s10->sink6
16305.6000 M210 175 1 185.6000 s10 sink2 3596 N s10->sink6
16707.6000 M213 189 1 464.0000 s12 sink4 3592 N s12->sink4
16707.7000 M207 189 1 943.2000 s12 sink9 3584 N s12->sink4
16707.8000 M206 190 2 1075.9000 s18 sink5 3582 N s18->s12->sink4
16707.9000 M212 167 2 469.9000 s18 sink8 3592 N s18->s12->sink4
17683.2000 M217 112 2 1182.1000 s13 sink8 3580 N s13->s10->sink7
17683.3000 M222 134 1 725.9000 s10 sink6 3587 N s10->sink7
17683.4000 M209 165 2 1806.8000 s13 sink8 3569 N s13->s10->sink7
17683.5000 M224 171 2 691.1000 s19 sink0 3588 N s19->s10->sink7
17683.6000 M214 172 2 1340.2000 s13 sink5 3577 N s13->s10->sink7
17683.7000 M230 166 2 449.6000 s19 sink9 3592 N s19->s10->sink7
17683.8000 M233 140 1 182.7000 s10 sink2 3596 N s10->sink7
17871.8000 M238 180 1 102.1000 s12 sink7 3598 N s12->sink3
17871.9000 M215 139 3 1408.8000 s15 sink2 3576 N s15->s16->s12->sink3
17872.0000 M231 180 3 599.3000 s15 sink5 3590 N s15->s13->s12->sink3
17872.1000 M211 151 3 1641.5000 s14 sink8 3572 N s14->s16->s12->sink3
17872.2000 M225 149 2 870.9000 s13 sink1 3585 N s13->s12->sink3
17872.3000 M228 184 1 685.6000 s12 sink9 3588 N s12->sink3
17872.4000 M223 170 1 890.1000 s12 sink2 3585 N s12->sink3
17872.5000 M205 116 3 2291.4000 s15 sink8 3561 N s15->s16->s12->sink3
17872.6000 M227 164 2 723.4000 s13 sink6 3587 N s13->s12->sink3
17872.7000 M219 153 2 1179.9000 s16 sink6 3580 N s16->s12->sink3
17872.8000 M220 153 3 1122.9000 s14 sink8 3581 N s14->s16->s12->sink3
17872.9000 M229 118 2 685.8000 s17 sink7 3588 N s17->s12->sink3
17873.0000 M218 198 3 1270.6000 s14 sink6 3578 N s14->s16->s12->sink3
17873.1000 M226 125 3 765.4000 s14 sink6 3587 N s14->s19->s12->sink3
17873.2000 M216 146 2 1394.9000 s16 sink1 3576 N s16->s12->sink3
17873.3000 M221 169 2 1032.7000 s15 sink6 3582 N s15->s12->sink3
17896.4000 M236 144 1 303.0000 s13 sink6 3594 N s13->sink1
